OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.924579+0.52050447463989258" 
2, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.924579+0.42104199528694153" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.924579+0.038703598082065582" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.924579+0.050823606550693512" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.924579+0.039706937968730927" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.924579+0.096929468214511871" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.924579+0.090472280979156494" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924579+0.26025223731994629" 
2, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.924579+0.21052099764347076" 
0, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
0, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.15"
0, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.15"
1, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
1, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.20"
1, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.20"
2, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
2, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.40"
2, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.40"

